,Unnamed: 0,size,gamma,theta,steps,time,score,avg_conversion_iterations
0,5,4,0.99,1e-13,21.742,8.37244987487793e-05,9.13016,302.6
0,5,8,0.99,1e-13,61.448,0.0002150340080261,7.58208,690.1
0,5,12,0.99,1e-13,113.97,0.0004090313911437,4.331200000000003,947.5
0,5,16,0.99,1e-13,331.99,0.0012567200660705,-6.124319999999856,1427.9
0,5,20,0.99,1e-13,194.18400000000003,0.0006831092834472,0.972640000000018,1197.9
0,5,24,0.99,1e-13,251.284,0.0008866019248962,-2.7113599999999467,1316.4
0,5,32,0.99,1e-13,283.478,0.0010006279945373,-1.549119999999932,1218.0
