,Unnamed: 0,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
0,1,5,0.9,0.95,0.9,603.08,-5.4853854,0.0121044778823852,-603.08,561.0
0,1,10,0.9,0.95,0.9,1058.5399999999995,-5.8187904,0.0247444105148315,-1058.5399999999995,541.0
0,1,15,0.9,0.95,0.9,171.66,-5.723058,0.0046356916427612,-171.66,521.0
0,0,20,0.7,0.95,0.9,145.52,-1.999937,0.0048083209991455,-145.52,501.0
0,0,25,0.7,0.95,0.9,135.26000000000002,-2.0112076,0.0054625034332275,-135.26000000000002,501.0
0,1,30,0.9,0.95,0.9,158.07999999999998,-5.325615,0.0076979303359985,-158.07999999999998,561.0
