,Unnamed: 0,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
0,90,4,0.95,0.7,1.0,19.515,4.4294486,9.789705276489255e-05,9.2594,4201.0
0,103,8,0.99,0.95,0.7,63.05500000000001,4.420232,0.0002242863178253,7.517799999999999,4801.0
0,89,12,0.95,0.9,0.4,140.86,0.09136949,0.0005106210708618,3.554200000000022,4721.0
0,64,16,0.9,0.95,0.4,428.97,-0.48902196,0.0015151989459991,-13.12379999999979,4761.0
0,89,20,0.95,0.9,0.4,486.5699999999999,-0.54841125,0.0017340815067291,-24.74859999999981,4771.0
0,116,24,0.99,0.4,0.95,227.62000000000003,-0.16547096,0.000818144083023,-24.064799999999952,4491.0
0,100,32,0.99,0.95,1.0,241.385,-0.16308305,0.000946033000946,-24.615399999999944,4791.0
