,Value,Mean_Value(10)
210,-45.0129,-43.714641647338865
211,-45.02404,-43.75373069763184
212,-45.03501,-43.79201210021973
213,-45.045753,-43.829500350952145
214,-45.056206,-43.86620887756348
215,-45.06654,-43.90215251922607
216,-45.07665,-43.93734462738037
217,-45.08656,-43.97179866790771
218,-45.096252,-44.005527839660644
219,-45.105724,-44.03854457855225
220,-45.115074,-44.070862922668454
221,-45.12418,-44.10249420166016
222,-45.1331,-44.13345142364502
223,-45.141865,-44.163746948242185
224,-45.150444,-44.19339294433594
225,-45.158817,-44.22240104675293
226,-45.16703,-44.2507827758789
227,-45.17507,-44.278550186157226
228,-45.182915,-44.30571399688721
229,-45.1906,-44.33228580474854
230,-45.19812,-44.3582767868042
231,-45.205475,-44.38369781494141
232,-45.2127,-44.408560333251955
233,-45.21972,-44.43287483215332
234,-45.226616,-44.45665222167969
235,-45.233337,-44.479903030395505
236,-45.239906,-44.50263801574707
237,-45.24633,-44.52486721038818
238,-45.252605,-44.54660152435303
239,-45.25875,-44.5678511428833
240,-45.26474,-44.5886264038086
241,-45.27062,-44.60893768310547
242,-45.2763,-44.62879440307617
243,-45.281933,-44.64820796966553
244,-45.28739,-44.66718692779541
245,-45.292744,-44.6857417678833
246,-45.297935,-44.703882179260255
247,-45.303047,-44.72161777496338
248,-45.308044,-44.73895843505859
249,-45.31291,-44.7559130859375
250,-45.317635,-44.77249073028565
251,-45.32228,-44.78870018005371
252,-45.32683,-44.80455108642578
253,-45.33125,-44.82005180358887
254,-45.33558,-44.83521110534668
255,-45.339806,-44.85003730773926
256,-45.343952,-44.86453872680664
257,-45.34798,-44.87872299194336
258,-45.351917,-44.892598190307616
259,-45.355816,-44.90617214202881
260,-45.35958,-44.919452323913575
261,-45.363274,-44.932446022033695
262,-45.36686,-44.94515949249268
263,-45.370407,-44.95760055541992
264,-45.37388,-44.9697758102417
265,-45.377228,-44.98169151306152
266,-45.38053,-44.993353843688965
267,-45.38377,-45.004769020080566
268,-45.38694,-45.01594310760498
269,-45.390022,-45.02688148498535
270,-45.393074,-45.03759025573731
271,-45.396038,-45.04807418823242
272,-45.39892,-45.058338775634766
273,-45.40174,-45.06838844299316
274,-45.404533,-45.078229064941404
275,-45.407257,-45.087865371704105
276,-45.409912,-45.09730140686035
277,-45.41257,-45.10654224395752
278,-45.41509,-45.11559139251709
279,-45.41762,-45.124453697204586
280,-45.420097,-45.13313304901123
281,-45.422462,-45.14163314819336
282,-45.424812,-45.14995758056641
283,-45.42713,-45.15811069488525
284,-45.42939,-45.16609584808349
285,-45.431633,-45.173916816711426
286,-45.433784,-45.18157649993896
287,-45.43589,-45.18907806396484
288,-45.43799,-45.196425132751465
289,-45.440025,-45.203620796203616
290,-45.442036,-45.210668296813964
291,-45.443962,-45.217570037841796
292,-45.445915,-45.22432960510254
293,-45.447784,-45.23094909667969
294,-45.44965,-45.23743190765381
295,-45.451458,-45.243780288696286
296,-45.45324,-45.249997024536135
297,-45.45498,-45.25608467102051
298,-45.456642,-45.26204483032227
299,-45.45838,-45.267882080078124
300,-45.45999,-45.27359699249268
301,-45.46155,-45.27919174194336
302,-45.463142,-45.28466979980469
303,-45.46466,-45.29003257751465
304,-45.46618,-45.295282707214355
305,-45.46767,-45.30042232513428
306,-45.469128,-45.30545352935791
307,-45.470528,-45.31037799835205
308,-45.471916,-45.31519794464111
309,-45.473255,-45.319915313720706
310,-45.474586,-45.324532165527344
