,701
0,0.3097517051059009
1,0.32747450164908254
2,0.32887343605986175
3,0.32335357281079635
4,0.3421001018878323
5,0.37563620502787354
6,0.3714102423000744
7,0.35768302125476764
8,0.3658342002888594
9,0.333052811503884
10,0.41026388965032234
11,0.3849876868427653
12,0.41353312791602626
13,0.3929746060249015
14,0.37141131584271736
15,0.3605755015483731
16,0.37290551786718956
17,0.3446817186820519
18,0.35489376215758967
19,0.3208553586528558
20,0.361296083973868
21,0.3753075094271234
22,0.4500828023263245
23,0.3977690821452894
24,0.4008457647210362
25,0.44931037309427924
26,0.441913409987598
27,0.4514509254157311
28,0.4455294466481727
29,0.47233960272264236
30,0.48268365898917553
31,0.3954588293405311
32,0.43000246251021
33,0.42727313654881177
34,0.4086399121645236
35,0.4068031378991341
36,0.4254182295163832
37,0.41398117735438233
38,0.39215769656671307
39,0.4360450949005128
40,0.40928943631699394
41,0.47325113225880905
42,0.5143884472785649
43,0.5089804067435342
44,0.42569639690073297
45,0.3919391231480911
46,0.41559690801015303
47,0.4197000402874027
48,0.4089225610354
49,0.36410180307157536
50,0.3859350668547139
51,0.3749661899981764
52,0.39034293698344535
53,0.45543431320497946
54,0.46794049817558564
55,0.44588270218058135
56,0.4136242891390394
57,0.41379609112160903
58,0.4192784356280204
59,0.4891715032889818
60,0.462634843237629
61,0.4640170716075905
62,0.48039062321924475
63,0.46886569416133117
64,0.4941414938245105
65,0.4147358391320504
66,0.47399889915217425
67,0.4585560226862081
68,0.4360291880510854
69,0.39132087020490597
70,0.45907816655124045
71,0.43125254450346046
72,0.4411848141022884
73,0.4818458144363242
74,0.49165933016079355
75,0.44998633435249297
76,0.4552210255332732
77,0.4889669305264632
78,0.46555293960900107
79,0.5208160940613612
80,0.45829787806770617
81,0.4860218508407421
82,0.5149518090794378
83,0.5083182940814033
84,0.5002515041736378
85,0.4931090112968315
86,0.49108086266460993
87,0.496033049076084
88,0.4682361831324941
89,0.49807936577418327
90,0.5271557368496536
91,0.495634612503481
92,0.4666742726896062
93,0.5013784026987735
94,0.49114873218845434
95,0.5258588641060926
96,0.5392264806905585
97,0.5441627541122497
98,0.5541874131961745
99,0.5082266465277373
100,0.5059669627361186
101,0.5002058320419677
102,0.4998191863281324
103,0.5463623733808008
104,0.5369916241739154
105,0.4958611456074964
106,0.5080888429273767
