,0
0,-200.0
10,-200.0
20,-181.81999999999996
30,-200.0
40,-200.0
50,-159.44000000000003
60,-119.68000000000004
70,-132.28
80,-123.52000000000001
90,-122.03999999999999
100,-122.0
110,-122.0
120,-124.02000000000001
130,-124.02000000000001
140,-111.22
150,-111.22
160,-111.22
170,-111.22
180,-111.20000000000002
190,-111.20000000000002
200,-111.20000000000002
210,-111.20000000000002
220,-111.20000000000002
230,-111.20000000000002
240,-111.20000000000002
250,-111.20000000000002
260,-111.20000000000002
270,-111.20000000000002
280,-111.20000000000002
290,-111.20000000000002
300,-111.20000000000002
310,-111.20000000000002
320,-111.20000000000002
330,-111.20000000000002
340,-111.20000000000002
350,-111.20000000000002
360,-111.20000000000002
370,-111.20000000000002
380,-111.20000000000002
390,-111.20000000000002
400,-111.20000000000002
410,-111.20000000000002
420,-111.20000000000002
430,-111.20000000000002
440,-111.20000000000002
450,-111.20000000000002
460,-111.20000000000002
470,-111.20000000000002
480,-111.20000000000002
490,-111.20000000000002
500,-111.20000000000002
510,-111.20000000000002
520,-111.20000000000002
530,-111.20000000000002
540,-111.20000000000002
550,-111.20000000000002
560,-111.20000000000002
570,-111.20000000000002
580,-111.20000000000002
590,-111.20000000000002
600,-111.20000000000002
610,-111.20000000000002
620,-111.20000000000002
630,-111.20000000000002
640,-111.20000000000002
650,-111.20000000000002
660,-111.20000000000002
670,-111.20000000000002
680,-111.20000000000002
690,-111.20000000000002
700,-111.20000000000002
710,-111.20000000000002
720,-111.20000000000002
730,-111.20000000000002
740,-111.20000000000002
750,-111.20000000000002
760,-111.20000000000002
770,-111.20000000000002
780,-111.20000000000002
790,-111.20000000000002
800,-111.20000000000002
810,-111.20000000000002
820,-111.20000000000002
830,-111.20000000000002
840,-111.20000000000002
850,-111.20000000000002
860,-111.20000000000002
870,-111.20000000000002
880,-111.20000000000002
890,-111.20000000000002
900,-111.20000000000002
910,-111.20000000000002
920,-111.20000000000002
930,-111.20000000000002
940,-111.20000000000002
950,-111.20000000000002
960,-111.20000000000002
970,-111.20000000000002
980,-111.20000000000002
990,-111.20000000000002
1000,-111.20000000000002
1010,-111.20000000000002
1020,-111.20000000000002
1030,-111.20000000000002
1040,-111.20000000000002
1050,-111.20000000000002
1060,-111.20000000000002
1070,-111.20000000000002
1080,-111.20000000000002
1090,-111.20000000000002
1100,-111.20000000000002
1110,-111.20000000000002
1120,-111.20000000000002
1130,-111.20000000000002
1140,-111.20000000000002
1150,-111.20000000000002
1160,-111.20000000000002
1170,-111.20000000000002
1180,-111.20000000000002
1190,-111.20000000000002
1200,-111.20000000000002
1210,-111.20000000000002
1220,-111.20000000000002
1230,-111.20000000000002
1240,-111.20000000000002
1250,-111.20000000000002
1260,-111.20000000000002
1270,-111.20000000000002
1280,-111.20000000000002
1290,-111.20000000000002
1300,-111.20000000000002
1310,-111.20000000000002
1320,-111.20000000000002
1330,-111.20000000000002
1340,-111.20000000000002
1350,-111.20000000000002
1360,-111.20000000000002
1370,-111.20000000000002
1380,-111.20000000000002
1390,-111.20000000000002
1400,-111.20000000000002
1410,-111.20000000000002
1420,-111.20000000000002
