,steps,time
0,2000.0,0.08071819305419922
10,2000.0,0.08021955490112305
20,1327.56,0.053309483528137205
30,1722.92,0.06879672050476074
40,1324.6399999999999,0.05367248058319092
50,924.1200000000001,0.03665401458740235
60,790.42,0.03196909427642822
70,718.3,0.028842806816101074
80,1534.1,0.061584119796752934
90,627.4599999999999,0.02517958641052246
100,826.0199999999999,0.033204998970031735
110,982.1400000000001,0.039099478721618654
120,591.64,0.02382985115051269
130,293.30000000000007,0.011750583648681642
140,492.76000000000005,0.01972298622131348
150,386.93999999999994,0.015503082275390623
160,555.26,0.02226752281188965
170,192.49999999999997,0.007684235572814941
180,270.08000000000004,0.010764069557189941
190,604.0,0.024235706329345703
200,292.02,0.011682162284851074
210,216.73999999999995,0.008683142662048341
220,186.45999999999998,0.007526769638061523
230,179.06,0.007237353324890136
240,259.94,0.010447912216186524
250,179.56,0.007121448516845703
260,213.67999999999998,0.008580136299133302
270,170.06,0.006844964027404786
280,169.82,0.006793828010559081
290,256.71999999999997,0.010325241088867187
300,175.14000000000001,0.007026996612548829
310,172.95999999999998,0.006910581588745117
320,211.01999999999998,0.00841141700744629
330,183.38,0.007429194450378418
340,166.94,0.0066523170471191415
350,202.66,0.008092937469482421
360,185.22,0.0073980617523193345
370,171.18,0.006833972930908203
380,178.68,0.00714726448059082
390,176.0,0.007047290802001953
400,229.35999999999999,0.0091864013671875
410,251.87999999999997,0.010475845336914064
420,184.06,0.007407002449035645
430,239.88000000000002,0.009520959854125976
440,255.45999999999998,0.010242276191711428
450,326.64,0.013022336959838867
460,259.06,0.010393834114074706
470,163.95999999999998,0.006483654975891114
480,237.82,0.00959536075592041
490,161.44,0.006389498710632324
500,161.6,0.006492428779602051
510,157.48,0.006231141090393066
520,155.94,0.0062358522415161145
530,154.6,0.0061393451690673825
540,162.54000000000002,0.00651927947998047
550,152.14000000000001,0.006097121238708496
560,154.51999999999998,0.006180672645568847
570,160.85999999999999,0.006434726715087891
580,163.56,0.006543636322021484
590,161.07999999999998,0.006444373130798339
600,162.32,0.006496033668518066
610,157.18,0.006291761398315429
620,227.45999999999998,0.009110889434814454
630,161.32,0.006470699310302734
640,166.73999999999998,0.006671524047851563
650,164.3,0.006572437286376953
660,165.16000000000003,0.006605939865112305
670,239.12000000000003,0.00957963466644287
680,164.32,0.006574764251708984
690,161.68,0.006478548049926758
