,steps,time
0,200.0,0.008042517185211182
10,200.0,0.007959891796112062
20,181.81999999999996,0.007256462574005126
30,200.0,0.007949226856231688
40,200.0,0.007977567672729493
50,159.44000000000003,0.006368016719818115
60,119.68000000000004,0.004764759540557861
70,132.28,0.005284775733947754
80,123.52000000000001,0.004910875797271728
90,122.03999999999999,0.004838808536529541
100,122.0,0.004887705326080323
110,122.0,0.004862455844879149
120,124.02000000000001,0.004957481384277344
130,124.02000000000001,0.0049212946891784674
140,111.22,0.004424710750579834
150,111.22,0.00442012357711792
160,111.22,0.004440091609954834
170,111.22,0.00454624032974243
180,111.20000000000002,0.004476515769958497
190,111.20000000000002,0.004470441341400146
200,111.20000000000002,0.004441940784454345
210,111.20000000000002,0.004550209045410156
220,111.20000000000002,0.004447597026824951
230,111.20000000000002,0.004427599430084228
240,111.20000000000002,0.004462186813354492
250,111.20000000000002,0.004437508583068847
260,111.20000000000002,0.004499420642852784
270,111.20000000000002,0.004489573001861572
280,111.20000000000002,0.004490551471710205
290,111.20000000000002,0.004539762020111084
300,111.20000000000002,0.004447694301605225
310,111.20000000000002,0.004433806419372559
320,111.20000000000002,0.004427455425262451
330,111.20000000000002,0.004399931907653808
340,111.20000000000002,0.004448363780975341
350,111.20000000000002,0.0044197187423706055
360,111.20000000000002,0.004417890548706055
370,111.20000000000002,0.004425743103027344
380,111.20000000000002,0.004410257339477539
390,111.20000000000002,0.004391653537750244
400,111.20000000000002,0.004427304744720459
410,111.20000000000002,0.004441418647766112
420,111.20000000000002,0.004433662891387939
430,111.20000000000002,0.004424233436584472
440,111.20000000000002,0.004430606842041016
450,111.20000000000002,0.004458102703094482
460,111.20000000000002,0.0044615478515625
470,111.20000000000002,0.004427330493927002
480,111.20000000000002,0.004409217357635498
490,111.20000000000002,0.004406742095947265
500,111.20000000000002,0.0044382061958312975
510,111.20000000000002,0.004441248893737792
520,111.20000000000002,0.004494657516479493
530,111.20000000000002,0.004472886562347412
540,111.20000000000002,0.004458739280700683
550,111.20000000000002,0.004414040088653565
560,111.20000000000002,0.004417279720306396
570,111.20000000000002,0.004425527095794678
580,111.20000000000002,0.004433115005493165
590,111.20000000000002,0.004406294345855712
600,111.20000000000002,0.0044425339698791495
610,111.20000000000002,0.0044118380546569825
620,111.20000000000002,0.004433761119842529
630,111.20000000000002,0.0045471124649047855
640,111.20000000000002,0.004436924457550049
650,111.20000000000002,0.004567097187042237
660,111.20000000000002,0.004458252429962157
670,111.20000000000002,0.00450959062576294
680,111.20000000000002,0.004447546482086182
690,111.20000000000002,0.004470661640167235
700,111.20000000000002,0.004464682102203369
710,111.20000000000002,0.004493221759796143
720,111.20000000000002,0.004473674774169921
730,111.20000000000002,0.004460294723510743
740,111.20000000000002,0.004437339782714843
750,111.20000000000002,0.004656270503997803
760,111.20000000000002,0.004461541652679443
770,111.20000000000002,0.004413900852203369
780,111.20000000000002,0.004394440650939941
790,111.20000000000002,0.004424714088439941
800,111.20000000000002,0.00441748857498169
810,111.20000000000002,0.004418542385101318
820,111.20000000000002,0.004430912017822266
830,111.20000000000002,0.004454621315002441
840,111.20000000000002,0.004464915752410889
850,111.20000000000002,0.004463069438934326
860,111.20000000000002,0.004434594631195068
870,111.20000000000002,0.004436440467834472
880,111.20000000000002,0.004404606342315674
890,111.20000000000002,0.004450263500213623
900,111.20000000000002,0.004421258926391601
910,111.20000000000002,0.004442307949066162
920,111.20000000000002,0.004427173614501953
930,111.20000000000002,0.004442868232727051
940,111.20000000000002,0.004408199787139892
950,111.20000000000002,0.004427771568298339
960,111.20000000000002,0.004398163795471191
970,111.20000000000002,0.004420763492584229
980,111.20000000000002,0.0043977775573730464
990,111.20000000000002,0.0044697985649108886
1000,111.20000000000002,0.004425740242004395
1010,111.20000000000002,0.004422761440277099
1020,111.20000000000002,0.004387169361114501
1030,111.20000000000002,0.004424285411834717
1040,111.20000000000002,0.004391858577728272
1050,111.20000000000002,0.0044258227348327635
1060,111.20000000000002,0.004398849487304688
1070,111.20000000000002,0.004440815448760986
1080,111.20000000000002,0.004401069641113281
1090,111.20000000000002,0.00446126651763916
1100,111.20000000000002,0.004450338840484619
1110,111.20000000000002,0.004500357151031494
1120,111.20000000000002,0.0044686756134033195
1130,111.20000000000002,0.004591633319854736
1140,111.20000000000002,0.004512119770050048
1150,111.20000000000002,0.004472575664520264
1160,111.20000000000002,0.00443325424194336
1170,111.20000000000002,0.0044500150680541984
1180,111.20000000000002,0.004422605991363526
1190,111.20000000000002,0.004453356742858887
1200,111.20000000000002,0.00441565990447998
1210,111.20000000000002,0.004442187786102295
1220,111.20000000000002,0.004410227775573731
1230,111.20000000000002,0.004450314521789551
1240,111.20000000000002,0.004424154281616211
1250,111.20000000000002,0.0044312019348144525
1260,111.20000000000002,0.004412795543670655
1270,111.20000000000002,0.004439042568206787
1280,111.20000000000002,0.004413654327392579
1290,111.20000000000002,0.004429449558258056
1300,111.20000000000002,0.004453423976898193
1310,111.20000000000002,0.004467394351959228
1320,111.20000000000002,0.004438916683197022
1330,111.20000000000002,0.004482847690582275
1340,111.20000000000002,0.00443153190612793
1350,111.20000000000002,0.004467173576354981
1360,111.20000000000002,0.004452800750732422
1370,111.20000000000002,0.004449170112609864
1380,111.20000000000002,0.004443475723266602
1390,111.20000000000002,0.004484087467193603
1400,111.20000000000002,0.004480473041534423
1410,111.20000000000002,0.004463168621063232
1420,111.20000000000002,0.004435044765472413
