,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,24,0.99,1e-13,250.50200000000004,0.0008903255462646484,-2.830079999999947,87.9
4,24,0.95,1e-13,301.354,0.001103877544403076,-4.614159999999909,51.8
3,24,0.9,1e-13,390.53000000000003,0.0013896636962890626,-7.981199999999871,28.0
2,24,0.7,1e-13,1004.244,0.0037790269851684572,-33.288960000001474,13.4
1,24,0.3,1e-13,2210.43,0.007801956653594971,-86.13352000000454,10.7
0,24,0.01,1e-13,2617.682,0.009294577598571777,-106.48240000000604,6.3
