,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,20,0.99,1e-13,194.18400000000003,0.0006831092834472657,0.9726400000000179,1197.9
4,20,0.95,1e-13,241.706,0.0008514513969421388,-0.3282399999999478,465.0
3,20,0.9,1e-13,420.008,0.0014826788902282716,-8.233600000000036,249.4
2,20,0.7,1e-13,727.778,0.0025615649223327637,-21.609840000000176,78.2
0,20,0.01,1e-13,777.3340000000001,0.0028549122810363767,-42.61256000000016,8.0
1,20,0.3,1e-13,1627.688,0.005757018089294434,-61.884480000000735,24.9
