,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
89,12,0.95,0.9,0.4,140.86,0.09136949,0.0005106210708618164,3.554200000000022,4721.0
104,12,0.99,0.95,0.4,139.98,1.4842287,0.0005085611343383789,2.8394000000000226,4751.0
109,12,0.99,0.9,0.4,131.24499999999998,1.5115585,0.00048228740692138675,2.6898000000000133,4761.0
94,12,0.95,0.7,0.4,137.47,0.068369105,0.0005120992660522461,2.4900000000000215,4641.0
84,12,0.95,0.95,0.4,129.20499999999998,0.069407284,0.0004722189903259278,2.446600000000015,4721.0
108,12,0.99,0.9,0.7,140.92000000000002,0.7286817,0.0005129373073577881,2.127600000000023,4751.0
99,12,0.95,0.4,0.4,160.575,-0.03125244,0.0005916476249694825,2.1150000000000357,4371.0
79,12,0.9,0.4,0.4,149.805,-0.18971482,0.0005391943454742432,2.046800000000025,4351.0
63,12,0.9,0.95,0.7,159.15,-0.17985496,0.0005861604213714598,1.947600000000032,4701.0
43,12,0.7,0.95,0.7,165.325,-0.24257937,0.0007348263263702393,1.8748000000000367,4731.0
114,12,0.99,0.7,0.4,164.68500000000003,1.377353,0.0006074261665344238,1.6494000000000402,4671.0
64,12,0.9,0.95,0.4,176.03499999999997,-0.21053126,0.0006446516513824463,1.4946000000000486,4711.0
113,12,0.99,0.7,0.7,145.145,0.54483545,0.0005331718921661378,1.434000000000019,4641.0
69,12,0.9,0.9,0.4,170.05,-0.20626724,0.0006445682048797607,1.2340000000000457,4711.0
73,12,0.9,0.7,0.7,171.20999999999998,-0.21333495,0.0006235289573669435,1.1886000000000423,4611.0
59,12,0.7,0.4,0.4,172.35,-0.25202584,0.0006236529350280762,1.04460000000004,4421.0
83,12,0.95,0.95,0.7,167.22500000000005,-0.003951609,0.0006132030487060547,1.0232000000000379,4721.0
54,12,0.7,0.7,0.4,178.89999999999998,-0.26726714,0.0006493890285491943,1.0050000000000492,4641.0
103,12,0.99,0.95,0.7,168.44500000000002,0.8673379,0.0006158256530761719,0.9744000000000403,4801.0
48,12,0.7,0.9,0.7,163.54,-0.23091939,0.000588914155960083,0.9728000000000311,4731.0
88,12,0.95,0.9,0.7,162.81,-0.01408768,0.0006030559539794922,0.8258000000000356,4731.0
74,12,0.9,0.7,0.4,171.21,-0.19100721,0.0006303703784942626,0.8126000000000493,4601.0
49,12,0.7,0.9,0.4,190.04000000000002,-0.24931633,0.0006852567195892334,0.8094000000000516,4701.0
102,12,0.99,0.95,0.9,150.735,0.46480393,0.0005559074878692627,0.660200000000025,4741.0
53,12,0.7,0.7,0.7,170.05499999999998,-0.23703453,0.0006163942813873292,0.5360000000000362,4651.0
44,12,0.7,0.95,0.4,194.28499999999997,-0.26887825,0.0006974673271179199,0.5146000000000542,4751.0
119,12,0.99,0.4,0.4,162.90500000000003,0.9062891,0.0005981278419494628,0.472600000000032,4471.0
23,12,0.3,0.95,0.7,192.12,-0.21063554,0.0006886231899261476,0.3788000000000447,4711.0
86,12,0.95,0.9,0.95,162.315,-0.110140964,0.0006062531471252441,0.2964000000000326,4721.0
68,12,0.9,0.9,0.7,180.91500000000002,-0.20459786,0.0006582367420196534,0.2502000000000451,4731.0
82,12,0.95,0.95,0.9,161.29500000000002,-0.082392156,0.0005902469158172608,0.18760000000002935,4721.0
105,12,0.99,0.9,1.0,173.435,0.24045189,0.0006258547306060791,0.05240000000003313,4741.0
92,12,0.95,0.7,0.9,163.48,-0.14501885,0.0006032812595367431,-0.0001999999999688029,4651.0
67,12,0.9,0.9,0.9,192.38499999999996,-0.23445864,0.0006945514678955078,-0.10819999999994509,4751.0
62,12,0.9,0.95,0.9,172.685,-0.2103509,0.0006268978118896486,-0.21979999999995842,4701.0
42,12,0.7,0.95,0.9,200.975,-0.23201558,0.0007226467132568359,-0.22739999999994714,4751.0
61,12,0.9,0.95,0.95,178.96999999999997,-0.23352166,0.0006531524658203124,-0.29599999999996174,4731.0
87,12,0.95,0.9,0.9,185.85,-0.15657808,0.0006877017021179199,-0.32119999999995485,4741.0
106,12,0.99,0.9,0.95,154.81,0.2774184,0.0005706214904785155,-0.3531999999999764,4741.0
93,12,0.95,0.7,0.7,177.63000000000005,-0.0551135,0.0006503033638000489,-0.467799999999955,4651.0
107,12,0.99,0.9,0.9,167.58999999999997,0.3946988,0.0006140851974487304,-0.5149999999999649,4741.0
65,12,0.9,0.9,1.0,181.85999999999999,-0.22641115,0.0006750023365020752,-0.5621999999999515,4741.0
100,12,0.99,0.95,1.0,184.23499999999999,0.27879116,0.0006876194477081299,-0.58239999999995,4731.0
29,12,0.3,0.9,0.4,224.83499999999998,-0.23377573,0.0007956635951995849,-0.732999999999933,4741.0
91,12,0.95,0.7,0.95,196.805,-0.14975782,0.0007267093658447266,-0.7849999999999496,4651.0
72,12,0.9,0.7,0.9,179.445,-0.23258534,0.0006512749195098878,-0.8887999999999616,4651.0
81,12,0.95,0.95,0.95,208.51,-0.14269479,0.000758732557296753,-0.9785999999999421,4731.0
118,12,0.99,0.4,0.7,181.66500000000002,0.056886844,0.0006612372398376463,-1.0533999999999604,4371.0
80,12,0.95,0.95,1.0,188.115,-0.07834813,0.0006873273849487304,-1.11159999999995,4721.0
47,12,0.7,0.9,0.9,218.42,-0.2345626,0.0007878506183624267,-1.1259999999999288,4721.0
34,12,0.3,0.7,0.4,234.955,-0.22729656,0.0008288216590881346,-1.1879999999999256,4641.0
101,12,0.99,0.95,0.95,174.875,0.35437804,0.0006446564197540284,-1.380199999999966,4761.0
46,12,0.7,0.9,0.95,199.475,-0.23474936,0.0007186210155487061,-1.3917999999999464,4711.0
24,12,0.3,0.95,0.4,232.61999999999998,-0.25217634,0.0008200299739837647,-1.3937999999999264,4751.0
78,12,0.9,0.4,0.7,215.34,-0.21518147,0.0007847404479980469,-1.4771999999999328,4441.0
115,12,0.99,0.4,1.0,181.75500000000002,-0.2809842,0.0006758749485015869,-1.5303999999999625,4441.0
60,12,0.9,0.95,1.0,187.25,-0.24904485,0.0006762242317199707,-1.576999999999956,4721.0
28,12,0.3,0.9,0.7,223.75500000000002,-0.20570001,0.000784289836883545,-1.7625999999999376,4741.0
39,12,0.3,0.4,0.4,234.45999999999998,-0.22258914,0.0008440995216369629,-1.7685999999999247,4441.0
66,12,0.9,0.9,0.95,217.045,-0.23098557,0.0007874250411987304,-1.945999999999931,4721.0
41,12,0.7,0.95,0.95,210.58,-0.23426172,0.0007560586929321289,-1.9619999999999327,4731.0
98,12,0.95,0.4,0.7,194.37999999999997,-0.19029593,0.0007146263122558593,-1.9871999999999475,4391.0
76,12,0.9,0.4,0.95,196.555,-0.2499983,0.0007138741016387939,-2.0977999999999546,4411.0
70,12,0.9,0.7,1.0,208.635,-0.23240848,0.0007638895511627196,-2.15879999999994,4631.0
110,12,0.99,0.7,1.0,186.29500000000002,0.07020909,0.0006860291957855225,-2.2877999999999568,4671.0
45,12,0.7,0.9,1.0,221.21499999999997,-0.2306424,0.0007968080043792723,-2.4631999999999286,4731.0
