,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,20,0.99,1e-13,194.18400000000003,0.0006837172508239746,0.9226400000000179,50.9
4,20,0.95,1e-13,240.708,0.000845179557800293,-0.3383199999999484,34.8
3,20,0.9,1e-13,414.582,0.0014628238677978516,-7.9665600000000385,30.0
2,20,0.7,1e-13,727.778,0.002575572967529297,-21.609840000000176,15.1
1,20,0.3,1e-13,1563.0520000000001,0.005560585975646973,-58.70688000000066,11.7
0,20,0.01,1e-13,1892.6,0.006808754920959473,-76.95040000000115,5.6
