,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,8,0.99,1e-13,61.448,0.00021503400802612305,7.5820799999999995,690.1
4,8,0.95,1e-13,63.06600000000001,0.00022663593292236326,7.467359999999999,349.0
3,8,0.9,1e-13,63.220000000000006,0.0002213873863220215,7.4612,214.4
1,8,0.3,1e-13,64.988,0.00026299810409545894,7.300319999999999,25.0
2,8,0.7,1e-13,64.27600000000001,0.0002560043334960937,7.24888,77.6
0,8,0.01,1e-13,299.856,0.0010861687660217285,-13.370559999999912,8.0
