,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,12,0.99,1e-13,113.97,0.00040903139114379885,4.331200000000003,947.5
4,12,0.95,1e-13,128.16000000000003,0.00045067214965820315,3.803360000000012,406.3
3,12,0.9,1e-13,169.53000000000003,0.0005966672897338868,1.854800000000046,232.5
2,12,0.7,1e-13,177.582,0.0006248259544372559,1.7327200000000478,78.1
1,12,0.3,1e-13,186.04799999999997,0.0007348208427429199,1.2039200000000518,25.0
0,12,0.01,1e-13,631.88,0.002582664966583252,-28.117599999999623,8.0
