,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
98,25,0.95,0.4,0.7,180.32,-7.8308954,0.007225732803344727,-180.32,501.0
94,25,0.95,0.7,0.4,180.94000000000003,-8.931655,0.007282509803771972,-180.94000000000003,1021.0
35,25,0.3,0.4,1.0,182.99999999999997,-0.86380243,0.007311911582946777,-182.99999999999997,481.0
97,25,0.95,0.4,0.9,183.94,-7.9656434,0.007331552505493164,-183.94,581.0
101,25,0.99,0.95,0.95,185.9,-17.429424,0.007415366172790527,-185.9,3520.4
48,25,0.7,0.9,0.7,185.90000000000003,-2.0165153,0.0074699783325195305,-185.90000000000003,501.0
23,25,0.3,0.95,0.7,186.5,-0.8842472,0.007407045364379883,-186.5,481.0
58,25,0.7,0.4,0.7,187.98,-1.9572691,0.007546277046203613,-187.98,501.0
103,25,0.99,0.95,0.7,190.61999999999998,-18.437042,0.007589497566223145,-190.61999999999998,2200.4
95,25,0.95,0.4,1.0,194.82,-7.8970184,0.0077672815322875986,-194.82,641.0
102,25,0.99,0.95,0.9,197.1,-17.435564,0.007945561408996582,-197.1,961.0
100,25,0.99,0.95,1.0,197.44,-17.430195,0.00783273696899414,-197.44,2001.0
112,25,0.99,0.7,0.9,204.74,-16.755903,0.008194689750671388,-204.74,2901.0
116,25,0.99,0.4,0.95,206.97999999999996,-13.256833,0.008408751487731934,-206.97999999999996,861.0
108,25,0.99,0.9,0.7,211.45999999999998,-18.40393,0.008450493812561036,-211.45999999999998,1800.4
24,25,0.3,0.95,0.4,213.54000000000002,-0.8913932,0.008638968467712404,-213.54000000000002,501.0
90,25,0.95,0.7,1.0,222.42,-8.783693,0.008924226760864257,-222.42,681.0
118,25,0.99,0.4,0.7,223.08,-12.545543,0.00902928352355957,-223.08,921.0
60,25,0.9,0.95,1.0,228.01999999999998,-5.410577,0.009078197479248045,-228.01999999999998,561.0
115,25,0.99,0.4,1.0,230.16,-13.092613,0.009140515327453613,-230.16,861.0
71,25,0.9,0.7,0.95,231.01999999999998,-5.316052,0.009319868087768555,-231.01999999999998,541.0
84,25,0.95,0.95,0.4,234.2,-9.580302,0.009341211318969726,-234.2,901.0
45,25,0.7,0.9,1.0,237.04000000000002,-1.9875548,0.009505128860473633,-237.04000000000002,501.0
105,25,0.99,0.9,1.0,243.93999999999997,-17.053513,0.009750003814697266,-243.93999999999997,1101.0
50,25,0.7,0.7,1.0,245.97999999999996,-1.9779427,0.009929351806640625,-245.97999999999996,501.0
113,25,0.99,0.7,0.7,248.51999999999998,-17.134007,0.010039725303649903,-248.51999999999998,1521.0
83,25,0.95,0.95,0.7,250.32000000000002,-9.464101,0.009993200302124024,-250.32000000000002,521.0
69,25,0.9,0.9,0.4,250.94,-5.577957,0.010064363479614258,-250.94,541.0
74,25,0.9,0.7,0.4,252.12000000000003,-5.4902077,0.01015770435333252,-252.12000000000003,541.0
117,25,0.99,0.4,0.9,270.15999999999997,-13.057279,0.01063368797302246,-270.15999999999997,1041.0
63,25,0.9,0.95,0.7,283.82,-5.5308905,0.011477270126342773,-283.82,521.0
49,25,0.7,0.9,0.4,318.17999999999995,-2.0402744,0.012618575096130371,-318.17999999999995,501.0
