,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,30,0.99,1e-13,117.01599999999999,0.0061433291435241694,-117.01599999999999,5.6
4,30,0.95,1e-13,122.00399999999999,0.006134293556213378,-122.00399999999999,6.4
3,30,0.9,1e-13,123.41599999999998,0.006171080112457276,-123.41599999999998,7.2
2,30,0.7,1e-13,158.376,0.007695419788360597,-158.376,6.9
1,30,0.3,1e-13,198.07999999999998,0.009710437774658201,-198.07999999999998,7.6
0,30,0.01,1e-13,200.0,0.009892817974090575,-200.0,5.9
