,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,16,0.99,1e-13,331.99,0.0012567200660705568,-6.124319999999856,1427.9
4,16,0.95,1e-13,345.68600000000004,0.0012201414108276368,-6.522159999999848,455.3
3,16,0.9,1e-13,354.46799999999996,0.0012418560981750488,-6.883679999999839,244.0
2,16,0.7,1e-13,432.704,0.0015241875648498537,-10.293839999999781,77.9
1,16,0.3,1e-13,761.4060000000001,0.0028670811653137207,-25.561359999999524,24.7
0,16,0.01,1e-13,865.9619999999999,0.003346134185791016,-41.07127999999941,8.0
