,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,15,0.99,1e-13,136.50799999999998,0.003765246868133545,-136.50799999999998,4.2
1,15,0.3,1e-13,150.44000000000003,0.004074406623840332,-150.44000000000003,4.9
3,15,0.9,1e-13,155.70800000000003,0.004209798336029053,-155.70800000000003,6.7
4,15,0.95,1e-13,160.61199999999997,0.00434511661529541,-160.61199999999997,5.0
2,15,0.7,1e-13,199.856,0.005436764240264893,-199.856,6.5
0,15,0.01,1e-13,200.0,0.005439215183258057,-200.0,4.2
