,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,30,0.99,1e-13,116.97999999999999,0.006117446422576904,-116.97999999999999,1254.0
4,30,0.95,1e-13,122.0,0.00600547981262207,-122.0,476.0
3,30,0.9,1e-13,123.42,0.006107633113861083,-123.42,263.0
2,30,0.7,1e-13,157.66000000000003,0.007763819694519043,-157.66000000000003,85.0
1,30,0.3,1e-13,197.54,0.009928668498992922,-197.54,26.0
0,30,0.01,1e-13,200.0,0.009901134967803952,-200.0,8.0
