,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
90,4,0.95,0.7,1.0,19.515,4.4294486,9.789705276489257e-05,9.2594,4201.0
67,4,0.9,0.9,0.9,19.814999999999998,2.9075434,0.0002417778968811035,9.2474,4371.0
80,4,0.95,0.95,1.0,20.195,4.4195695,0.00011929988861083984,9.232199999999999,4421.0
96,4,0.95,0.4,0.95,20.205,4.443839,9.647965431213378e-05,9.231800000000003,3771.0
65,4,0.9,0.9,1.0,20.235000000000003,2.9235852,0.00013113021850585938,9.2306,4381.0
97,4,0.95,0.4,0.9,20.455000000000002,4.449897,0.0001762986183166504,9.221800000000002,3871.0
91,4,0.95,0.7,0.95,20.47,4.468619,0.0001187741756439209,9.2212,4061.0
78,4,0.9,0.4,0.7,20.475,2.9512668,0.00018056750297546384,9.220999999999998,3831.0
59,4,0.7,0.4,0.4,20.560000000000002,1.0795423,0.00011153697967529297,9.2176,3931.0
69,4,0.9,0.9,0.4,20.61,2.9203162,0.00010578036308288574,9.215599999999998,4291.0
84,4,0.95,0.95,0.4,20.65,4.4422274,0.00018977999687194824,9.214000000000002,4181.0
61,4,0.9,0.95,0.95,20.69,2.919952,0.0006395375728607178,9.212399999999999,4431.0
110,4,0.99,0.7,1.0,20.72,6.9240875,0.00019575476646423341,9.211200000000002,4081.0
52,4,0.7,0.7,0.9,20.75,1.0836896,0.00019999265670776365,9.21,4271.0
79,4,0.9,0.4,0.4,20.885,2.953524,0.0001868605613708496,9.2046,3781.0
72,4,0.9,0.7,0.9,20.98,2.9270751,0.00019278645515441895,9.200800000000001,4221.0
88,4,0.95,0.9,0.7,21.060000000000002,4.3935137,0.0002038705348968506,9.1976,4281.0
63,4,0.9,0.95,0.7,21.080000000000002,2.9105783,0.00019930481910705568,9.196800000000001,4411.0
50,4,0.7,0.7,1.0,21.085,1.0771093,0.00017775774002075197,9.1966,4301.0
83,4,0.95,0.95,0.7,21.17,4.4563236,0.00020125389099121097,9.193200000000001,4321.0
99,4,0.95,0.4,0.4,21.215,4.4335737,0.0001961338520050049,9.1914,3821.0
51,4,0.7,0.7,0.95,21.220000000000006,1.1194372,0.00020336627960205076,9.191199999999998,4331.0
87,4,0.95,0.9,0.9,21.225,4.4337606,0.00027730941772460946,9.191,4281.0
81,4,0.95,0.95,0.95,21.300000000000004,4.423337,0.00010513305664062498,9.187999999999999,4331.0
118,4,0.99,0.4,0.7,21.325,6.9234934,0.0002512514591217041,9.187000000000001,3191.0
119,4,0.99,0.4,0.4,21.330000000000002,6.8512564,0.000516413450241089,9.186799999999998,3201.0
64,4,0.9,0.95,0.4,21.375000000000004,2.9570682,0.00012322425842285157,9.184999999999999,4371.0
40,4,0.7,0.95,1.0,21.375000000000004,1.0943003,0.00010827183723449707,9.184999999999999,4451.0
114,4,0.99,0.7,0.4,21.41,6.964723,0.00023424029350280762,9.1836,3711.0
117,4,0.99,0.4,0.9,21.445,6.918419,0.0001131284236907959,9.1822,3571.0
109,4,0.99,0.9,0.4,21.445,6.8510637,0.0002925431728363037,9.182199999999998,3871.0
108,4,0.99,0.9,0.7,21.46,6.9149613,0.0005187177658081054,9.1816,3911.0
82,4,0.95,0.95,0.9,21.46,4.468642,0.0002784132957458496,9.181599999999998,4321.0
75,4,0.9,0.4,1.0,21.490000000000002,2.9309106,0.00011735677719116211,9.180399999999999,3821.0
66,4,0.9,0.9,0.95,21.520000000000003,2.9596908,0.00028875350952148435,9.1792,4361.0
47,4,0.7,0.9,0.9,21.585,1.0980086,0.00027094244956970214,9.176599999999999,4411.0
85,4,0.95,0.9,1.0,21.595,4.4081726,0.0001259768009185791,9.176200000000001,4401.0
94,4,0.95,0.7,0.4,21.635000000000005,4.435032,0.00021907925605773926,9.174600000000002,4021.0
93,4,0.95,0.7,0.7,21.634999999999998,4.4567995,0.00021673679351806637,9.1746,4081.0
54,4,0.7,0.7,0.4,21.650000000000002,1.0601218,0.00011466979980468748,9.173999999999998,4251.0
62,4,0.9,0.95,0.9,21.68,2.8847442,0.000399632453918457,9.172799999999999,4371.0
68,4,0.9,0.9,0.7,21.715000000000003,2.8845325,0.00018274784088134766,9.1714,4391.0
58,4,0.7,0.4,0.7,21.720000000000002,1.0626967,0.00023913145065307617,9.171199999999999,3981.0
44,4,0.7,0.95,0.4,21.79,1.0572213,0.00012299776077270507,9.1684,4431.0
112,4,0.99,0.7,0.9,20.54,6.9144683,0.00010909914970397949,9.168199999999997,3911.0
102,4,0.99,0.95,0.9,21.805,6.89298,0.0007984793186187744,9.167800000000002,4211.0
71,4,0.9,0.7,0.95,22.005000000000003,2.9321437,0.00023117065429687503,9.1598,4221.0
115,4,0.99,0.4,1.0,22.005000000000003,6.887246,0.00028600692749023435,9.159799999999999,3731.0
92,4,0.95,0.7,0.9,22.009999999999998,4.427444,0.0002183663845062256,9.159600000000001,4181.0
76,4,0.9,0.4,0.95,22.05,2.9196298,0.0010382413864135742,9.157999999999998,3831.0
95,4,0.95,0.4,1.0,22.110000000000003,4.40824,0.0001287376880645752,9.1556,3841.0
74,4,0.9,0.7,0.4,22.115000000000002,2.9184508,0.00011344790458679197,9.155400000000002,4211.0
73,4,0.9,0.7,0.7,22.194999999999997,2.9245648,0.00021896004676818853,9.1522,4221.0
111,4,0.99,0.7,0.95,22.2,6.8998475,0.0001764452457427978,9.151999999999997,4001.0
113,4,0.99,0.7,0.7,22.305,6.879084,0.0004104197025299072,9.1478,3871.0
107,4,0.99,0.9,0.9,22.375000000000004,6.877852,0.00010921239852905273,9.145,4081.0
105,4,0.99,0.9,1.0,21.19,6.9650373,0.0002299833297729492,9.1422,4031.0
55,4,0.7,0.4,1.0,22.565,1.0806913,0.00011437296867370606,9.1374,3891.0
42,4,0.7,0.95,0.9,22.630000000000003,1.0630049,0.00030815243721008304,9.134800000000002,4471.0
86,4,0.95,0.9,0.95,22.755000000000003,4.4449296,0.00044836759567260735,9.1298,4351.0
77,4,0.9,0.4,0.9,21.630000000000003,2.9204621,0.00023488283157348635,9.124600000000001,3861.0
100,4,0.99,0.95,1.0,22.889999999999997,6.931527,0.0002057600021362305,9.1244,4221.0
103,4,0.99,0.95,0.7,22.910000000000004,6.901496,0.0007753729820251465,9.1236,4011.0
101,4,0.99,0.95,0.95,21.67,6.940158,0.00011702537536621093,9.123,4001.0
104,4,0.99,0.95,0.4,21.755000000000003,6.8883066,0.0002964317798614502,9.119600000000002,3971.0
56,4,0.7,0.4,0.95,23.05,1.0880514,0.00016376376152038572,9.117999999999999,3951.0
57,4,0.7,0.4,0.9,22.415,1.0952425,0.000224909782409668,9.0932,3981.0
89,4,0.95,0.9,0.4,21.854999999999997,4.469215,0.00018228650093078615,9.0654,4131.0
20,4,0.3,0.95,1.0,23.130000000000003,0.41483217,0.00013240575790405277,9.064599999999999,4521.0
41,4,0.7,0.95,0.95,23.185,1.0806277,0.0001583409309387207,9.0624,4501.0
98,4,0.95,0.4,0.7,22.050000000000004,4.456065,0.00041425585746765134,9.057599999999997,3821.0
53,4,0.7,0.7,0.7,23.560000000000002,1.1037133,0.00013624310493469237,9.0474,4281.0
