,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,15,0.99,1e-13,136.57999999999998,0.003710105419158936,-136.57999999999998,1793.0
3,15,0.9,1e-13,158.20000000000002,0.004261742115020752,-158.20000000000002,273.0
4,15,0.95,1e-13,162.55999999999997,0.0045386838912963865,-162.55999999999997,524.0
1,15,0.3,1e-13,183.20000000000002,0.0049567117691040035,-183.20000000000002,26.0
0,15,0.01,1e-13,200.0,0.005779717445373535,-200.0,8.0
2,15,0.7,1e-13,200.0,0.005510828971862792,-200.0,85.0
