,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,5,0.99,1e-13,197.19400000000002,0.004049973011016846,-197.19400000000002,2.9
4,5,0.95,1e-13,198.08,0.004071924209594727,-198.08,2.9
3,5,0.9,1e-13,199.22799999999998,0.004149547576904297,-199.22799999999998,3.0
0,5,0.01,1e-13,200.0,0.0040502152442932135,-200.0,2.4
1,5,0.3,1e-13,200.0,0.004117388725280761,-200.0,2.5
2,5,0.7,1e-13,200.0,0.004140603065490722,-200.0,2.7
