,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,32,0.99,1e-13,283.478,0.0010006279945373535,-1.549119999999932,1218.0
4,32,0.95,1e-13,408.446,0.001432673454284668,-6.297839999999874,484.6
3,32,0.9,1e-13,1487.344,0.005250803947448731,-51.50191999999872,254.7
2,32,0.7,1e-13,1748.0240000000001,0.006171000480651856,-61.96927999999857,78.7
0,32,0.01,1e-13,2118.978,0.007624107360839844,-95.17127999999823,8.0
1,32,0.3,1e-13,5027.468,0.01773100423812866,-200.71719999999385,25.0
