,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
0,20,0.7,0.95,0.9,145.52,-1.999937,0.004808320999145509,-145.52,501.0
1,20,0.9,0.95,0.9,474.0800000000001,-5.5512705,0.01577150344848633,-474.0800000000001,541.0
