,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,24,0.99,1e-13,251.28400000000002,0.0008866019248962402,-2.7113599999999467,1316.4
4,24,0.95,1e-13,301.58399999999995,0.001062464237213135,-4.573359999999909,480.0
3,24,0.9,1e-13,384.97400000000005,0.0013544955253601075,-7.808959999999866,252.0
2,24,0.7,1e-13,1005.3340000000001,0.003576362609863282,-33.33256000000147,77.9
0,24,0.01,1e-13,980.0260000000001,0.0036375784873962404,-50.42104000000173,8.0
1,24,0.3,1e-13,2259.464,0.00806637668609619,-88.53664000000481,24.9
