,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,32,0.99,1e-13,283.748,0.0010055766105651859,-1.6099199999999314,67.7
4,32,0.95,1e-13,408.446,0.001452966213226318,-6.297839999999874,45.6
3,32,0.9,1e-13,1502.3540000000003,0.005319589614868165,-52.12239999999872,29.5
2,32,0.7,1e-13,1960.494,0.006981456279754638,-70.78935999999847,19.4
0,32,0.01,1e-13,5058.611999999999,0.017886713981628416,-202.76335999999375,6.2
1,32,0.3,1e-13,5104.082,0.01827509069442749,-204.1030399999936,12.3
