,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
100,32,0.99,0.95,1.0,241.385,-0.16308305,0.0009460330009460448,-24.615399999999944,4791.0
105,32,0.99,0.9,1.0,252.51000000000005,-0.1581002,0.0009994757175445558,-25.060399999999937,4791.0
115,32,0.99,0.4,1.0,258.45500000000004,-0.10925951,0.000994894504547119,-25.29819999999993,4581.0
102,32,0.99,0.95,0.9,259.2699999999999,-0.17851858,0.001019073724746704,-25.330799999999947,4801.0
107,32,0.99,0.9,0.9,262.99,-0.17460324,0.0010241663455963135,-25.479599999999927,4801.0
91,32,0.95,0.7,0.95,263.28999999999996,-0.11502181,0.0010212624073028564,-25.49159999999993,4701.0
71,32,0.9,0.7,0.95,263.555,-0.094908595,0.0009989559650421143,-25.50219999999993,4701.0
86,32,0.95,0.9,0.95,269.50999999999993,-0.12573808,0.0010555136203765868,-25.740399999999926,4801.0
87,32,0.95,0.9,0.9,273.515,-0.13205765,0.0011184513568878174,-25.90059999999993,4791.0
90,32,0.95,0.7,1.0,273.97999999999996,-0.1099755,0.0010561466217041016,-25.919199999999925,4711.0
82,32,0.95,0.95,0.9,274.53499999999997,-0.13356346,0.001048882007598877,-25.941399999999923,4801.0
113,32,0.99,0.7,0.7,275.7,-0.1994095,0.0010879707336425783,-25.987999999999925,4701.0
95,32,0.95,0.4,1.0,275.74,-0.08670752,0.0010806846618652342,-25.98959999999994,4551.0
116,32,0.99,0.4,0.95,275.86,-0.1144014,0.0010829901695251466,-25.994399999999917,4551.0
93,32,0.95,0.7,0.7,277.115,-0.14475676,0.0010656595230102539,-26.044599999999924,4691.0
62,32,0.9,0.95,0.9,277.71999999999997,-0.11110844,0.001049039363861084,-26.068799999999925,4801.0
101,32,0.99,0.95,0.95,279.44500000000005,-0.16922155,0.00111031174659729,-26.137799999999913,4781.0
56,32,0.7,0.4,0.95,279.46000000000004,-0.05638794,0.0010464024543762206,-26.138399999999915,4561.0
80,32,0.95,0.95,1.0,281.355,-0.12209958,0.0010705459117889406,-26.214199999999913,4801.0
85,32,0.95,0.9,1.0,282.00999999999993,-0.12426548,0.0010976922512054444,-26.240399999999916,4801.0
61,32,0.9,0.95,0.95,285.37499999999994,-0.104479335,0.0010937881469726563,-26.374999999999915,4781.0
106,32,0.99,0.9,0.95,285.64,-0.16678122,0.0011087226867675783,-26.38559999999992,4801.0
76,32,0.9,0.4,0.95,289.24499999999995,-0.076397054,0.0010813093185424805,-26.52979999999991,4551.0
70,32,0.9,0.7,1.0,289.91999999999996,-0.09053235,0.0011016201972961425,-26.556799999999907,4701.0
103,32,0.99,0.95,0.7,291.34499999999997,-0.22061701,0.0011422646045684817,-26.613799999999912,4801.0
72,32,0.9,0.7,0.9,292.18,-0.100939974,0.0011116802692413329,-26.647199999999913,4691.0
60,32,0.9,0.95,1.0,294.69,-0.1035192,0.0011275219917297363,-26.74759999999991,4791.0
108,32,0.99,0.9,0.7,294.72499999999997,-0.21807742,0.0011499893665313722,-26.748999999999903,4801.0
97,32,0.95,0.4,0.9,295.255,-0.09635935,0.0011285817623138427,-26.770199999999903,4571.0
117,32,0.99,0.4,0.9,299.995,-0.11987007,0.001161097288131714,-26.9597999999999,4521.0
112,32,0.99,0.7,0.9,300.04,-0.15866414,0.001174752712249756,-26.9615999999999,4701.0
96,32,0.95,0.4,0.95,300.62,-0.09201276,0.0011522245407104494,-26.98479999999991,4571.0
111,32,0.99,0.7,0.95,301.335,-0.14859678,0.0011780643463134765,-27.013399999999898,4701.0
47,32,0.7,0.9,0.9,301.53000000000003,-0.07370387,0.0011356878280639649,-27.021199999999897,4801.0
110,32,0.99,0.7,1.0,303.39500000000004,-0.1414753,0.0011916685104370116,-27.095799999999905,4701.0
65,32,0.9,0.9,1.0,303.6450000000001,-0.09785141,0.0011592614650726319,-27.105799999999892,4791.0
75,32,0.9,0.4,1.0,304.68500000000006,-0.0744939,0.0011519408226013184,-27.1473999999999,4541.0
57,32,0.7,0.4,0.9,305.97499999999997,-0.058699768,0.0011392593383789062,-27.198999999999906,4541.0
83,32,0.95,0.95,0.7,307.925,-0.1625554,0.0011901032924652101,-27.2769999999999,4801.0
50,32,0.7,0.7,1.0,310.705,-0.06516932,0.0011641669273376467,-27.38819999999989,4681.0
37,32,0.3,0.4,0.9,310.78499999999997,-0.04323622,0.001163308620452881,-27.391399999999898,4541.0
98,32,0.95,0.4,0.7,311.84999999999997,-0.11603924,0.0012169766426086423,-27.433999999999894,4581.0
92,32,0.95,0.7,0.9,311.96000000000004,-0.11926557,0.0012213766574859617,-27.438399999999895,4701.0
55,32,0.7,0.4,1.0,313.49,-0.05267471,0.0011876153945922852,-27.49959999999989,4541.0
66,32,0.9,0.9,0.95,317.94,-0.10424082,0.0012232041358947753,-27.67759999999989,4801.0
46,32,0.7,0.9,0.95,319.17999999999995,-0.07101491,0.0011902499198913573,-27.727199999999907,4791.0
63,32,0.9,0.95,0.7,319.20500000000004,-0.1322846,0.0012196266651153566,-27.72819999999989,4801.0
78,32,0.9,0.4,0.7,321.08,-0.09414158,0.0012159180641174317,-27.803199999999883,4551.0
51,32,0.7,0.7,0.95,321.3,-0.06737509,0.0011978888511657714,-27.811999999999898,4681.0
48,32,0.7,0.9,0.7,322.30999999999995,-0.0873789,0.0012092578411102297,-27.852399999999886,4781.0
