,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
64,16,0.9,0.95,0.4,428.96999999999997,-0.48902196,0.0015151989459991455,-13.12379999999979,4761.0
69,16,0.9,0.9,0.4,427.88500000000005,-0.4928907,0.0015093851089477536,-13.905199999999791,4731.0
114,16,0.99,0.7,0.4,387.85499999999996,-0.7129908,0.0013735735416412352,-13.978199999999822,4671.0
104,16,0.99,0.95,0.4,378.29999999999995,-0.7463783,0.0013373708724975584,-14.395199999999827,4721.0
109,16,0.99,0.9,0.4,389.875,-0.7913001,0.001378239393234253,-14.658399999999821,4741.0
84,16,0.95,0.95,0.4,398.57000000000005,-0.5982159,0.0014448356628417969,-14.805399999999816,4731.0
108,16,0.99,0.9,0.7,342.16999999999996,-0.65278494,0.0012150502204895017,-15.398799999999861,4741.0
99,16,0.95,0.4,0.4,372.625,-0.55406886,0.0013534760475158692,-15.818799999999834,4481.0
74,16,0.9,0.7,0.4,464.96999999999997,-0.49029487,0.001636946201324463,-16.288199999999758,4651.0
54,16,0.7,0.7,0.4,474.48,-0.3287085,0.0017030870914459227,-16.41759999999976,4651.0
89,16,0.95,0.9,0.4,473.555,-0.61483103,0.0016916394233703613,-16.55779999999975,4741.0
44,16,0.7,0.95,0.4,462.105,-0.34921315,0.0016715145111083987,-16.824199999999763,4751.0
94,16,0.95,0.7,0.4,449.85,-0.60867345,0.0015875804424285889,-17.28279999999977,4641.0
119,16,0.99,0.4,0.4,399.61499999999995,-0.70965326,0.00141745924949646,-17.296999999999812,4431.0
103,16,0.99,0.95,0.7,396.675,-0.7402555,0.0013963150978088378,-17.430399999999814,4741.0
83,16,0.95,0.95,0.7,371.61,-0.52594984,0.0013182103633880616,-17.50159999999984,4761.0
82,16,0.95,0.95,0.9,367.425,-0.46651086,0.001315511465072632,-17.75839999999984,4771.0
88,16,0.95,0.9,0.7,406.895,-0.52910614,0.0014759409427642825,-17.913999999999806,4711.0
60,16,0.9,0.95,1.0,316.83,-0.35742384,0.0011238479614257813,-18.28379999999988,4751.0
112,16,0.99,0.7,0.9,355.81000000000006,-0.5898238,0.0012546288967132569,-18.36859999999985,4681.0
113,16,0.99,0.7,0.7,355.23999999999995,-0.6944945,0.0012568962574005128,-18.77199999999985,4681.0
68,16,0.9,0.9,0.7,416.55999999999995,-0.4244519,0.0014848327636718753,-18.7749999999998,4741.0
73,16,0.9,0.7,0.7,429.985,-0.39860788,0.0015140604972839356,-19.061999999999784,4651.0
102,16,0.99,0.95,0.9,351.78499999999997,-0.643252,0.0012373256683349608,-19.258799999999848,4771.0
49,16,0.7,0.9,0.4,553.155,-0.35012525,0.001963160037994385,-19.29299999999969,4751.0
107,16,0.99,0.9,0.9,362.83000000000004,-0.6091189,0.001336061954498291,-19.29999999999984,4781.0
93,16,0.95,0.7,0.7,390.80499999999995,-0.50678986,0.0014026939868927002,-19.596199999999815,4661.0
100,16,0.99,0.95,1.0,395.355,-0.59915006,0.001410096883773804,-19.677799999999813,4771.0
92,16,0.95,0.7,0.9,392.01,-0.4325854,0.001401911973953247,-20.19459999999981,4651.0
41,16,0.7,0.95,0.95,443.87,-0.25046906,0.0015836465358734133,-20.542599999999787,4791.0
81,16,0.95,0.95,0.95,409.90500000000003,-0.46451274,0.0014512550830841063,-20.58359999999981,4791.0
106,16,0.99,0.9,0.95,418.215,-0.6300463,0.0014999520778656006,-20.643399999999794,4751.0
24,16,0.3,0.95,0.4,545.325,-0.25782555,0.0019170689582824706,-20.827199999999706,4751.0
79,16,0.9,0.4,0.4,480.19500000000005,-0.4308986,0.0016906011104583743,-21.072399999999753,4461.0
85,16,0.95,0.9,1.0,390.115,-0.4413806,0.001409229040145874,-21.166999999999824,4761.0
59,16,0.7,0.4,0.4,497.7900000000001,-0.29677466,0.001770644187927246,-21.27619999999974,4411.0
110,16,0.99,0.7,1.0,400.68000000000006,-0.54117525,0.0014132750034332275,-21.389799999999806,4661.0
98,16,0.95,0.4,0.7,389.70500000000004,-0.42095813,0.0013723528385162355,-21.64959999999983,4461.0
97,16,0.95,0.4,0.9,378.66,-0.35958225,0.0013340389728546142,-21.984399999999827,4511.0
111,16,0.99,0.7,0.95,413.61500000000007,-0.56079435,0.0014752721786499025,-21.984999999999797,4671.0
62,16,0.9,0.95,0.9,430.68,-0.3822251,0.0015354275703430174,-22.11639999999979,4741.0
105,16,0.99,0.9,1.0,427.325,-0.57380855,0.001518399715423584,-22.18199999999979,4751.0
118,16,0.99,0.4,0.7,389.265,-0.5532164,0.0013845455646514892,-22.18319999999982,4481.0
63,16,0.9,0.95,0.7,457.63,-0.42716378,0.0016560614109039306,-22.24559999999977,4781.0
61,16,0.9,0.95,0.95,451.48999999999995,-0.37653852,0.0016220784187316894,-22.247999999999774,4761.0
70,16,0.9,0.7,1.0,390.45,-0.32852024,0.0013831257820129395,-22.328999999999827,4651.0
53,16,0.7,0.7,0.7,489.575,-0.2752168,0.001747802495956421,-22.37279999999974,4641.0
76,16,0.9,0.4,0.95,347.75499999999994,-0.2817045,0.0012350690364837647,-22.395799999999852,4471.0
78,16,0.9,0.4,0.7,421.2049999999999,-0.3377831,0.0015175139904022217,-22.5099999999998,4491.0
65,16,0.9,0.9,1.0,442.73999999999995,-0.35661978,0.0015696454048156738,-22.87339999999978,4761.0
90,16,0.95,0.7,1.0,440.13500000000005,-0.4052539,0.0015912175178527832,-22.918799999999784,4671.0
46,16,0.7,0.9,0.95,461.23999999999995,-0.25092736,0.0016768932342529296,-23.11439999999977,4751.0
29,16,0.3,0.9,0.4,603.3299999999999,-0.25807732,0.002146916389465332,-23.399399999999655,4731.0
91,16,0.95,0.7,0.95,423.2,-0.41735655,0.0015171730518341064,-23.416599999999793,4701.0
86,16,0.95,0.9,0.95,484.2950000000001,-0.45791513,0.001761223077774048,-23.536599999999744,4751.0
66,16,0.9,0.9,0.95,478.98499999999996,-0.36489093,0.0016892385482788087,-23.599799999999746,4771.0
