,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,16,0.99,1e-13,331.15200000000004,0.0011669411659240723,-6.040799999999857,13.5
4,16,0.95,1e-13,346.258,0.001227987766265869,-6.645039999999847,21.8
3,16,0.9,1e-13,353.046,0.0012418618202209475,-6.796879999999841,28.4
2,16,0.7,1e-13,432.87800000000004,0.0015545721054077148,-10.20079999999978,10.8
1,16,0.3,1e-13,563.784,0.001988351345062256,-16.270959999999683,10.0
0,16,0.01,1e-13,1162.682,0.004188975811004639,-48.47055999999918,5.1
