,size,gamma,init_alpha,init_epsilon,steps,V_mean,time,score,avg_conversion_iterations
89,20,0.95,0.9,0.4,486.5699999999999,-0.54841125,0.0017340815067291263,-24.74859999999981,4771.0
71,20,0.9,0.7,0.95,329.505,-0.22014323,0.0011740791797637939,-26.19039999999989,4691.0
93,20,0.95,0.7,0.7,397.815,-0.35224795,0.001424524784088135,-26.922799999999853,4701.0
100,20,0.99,0.95,1.0,344.96500000000003,-0.3902262,0.0012676250934600829,-27.133599999999866,4791.0
96,20,0.95,0.4,0.95,322.39500000000004,-0.21503031,0.001150951385498047,-27.405999999999892,4521.0
55,20,0.7,0.4,1.0,321.61,-0.11964478,0.0011784720420837404,-27.449399999999883,4531.0
87,20,0.95,0.9,0.9,347.175,-0.31446913,0.0012744522094726564,-27.471999999999866,4801.0
116,20,0.99,0.4,0.95,338.92499999999995,-0.26410836,0.0012526679039001466,-27.516999999999882,4541.0
97,20,0.95,0.4,0.9,320.61499999999995,-0.22025165,0.0011395502090454103,-27.65959999999989,4481.0
79,20,0.9,0.4,0.4,477.32,-0.326932,0.001688307523727417,-27.85399999999987,4521.0
114,20,0.99,0.7,0.4,538.0699999999999,-0.7558481,0.0019750249385833744,-27.858799999999796,4661.0
106,20,0.99,0.9,0.95,392.38999999999993,-0.39602524,0.0014143192768096926,-28.005999999999894,4811.0
104,20,0.99,0.95,0.4,587.785,-0.84951955,0.0020872414112091064,-28.148599999999863,4781.0
80,20,0.95,0.95,1.0,369.11,-0.2937408,0.0013176262378692626,-28.249999999999886,4801.0
109,20,0.99,0.9,0.4,561.28,-0.82762253,0.0020434844493865964,-28.437799999999832,4761.0
68,20,0.9,0.9,0.7,490.20500000000004,-0.3090678,0.0018055784702301029,-28.569199999999853,4791.0
90,20,0.95,0.7,1.0,358.065,-0.25850248,0.0012837862968444825,-28.657599999999867,4691.0
101,20,0.99,0.95,0.95,413.64499999999987,-0.41119128,0.0015035104751586915,-28.681999999999896,4791.0
110,20,0.99,0.7,1.0,381.995,-0.33402807,0.0015467274188995363,-28.864799999999843,4691.0
56,20,0.7,0.4,0.95,353.83,-0.13046573,0.0012824618816375732,-28.988199999999875,4521.0
83,20,0.95,0.95,0.7,451.1700000000001,-0.3960256,0.0016108393669128419,-29.032399999999832,4791.0
76,20,0.9,0.4,0.95,358.74499999999995,-0.17816539,0.001305137872695923,-29.05979999999987,4541.0
35,20,0.3,0.4,1.0,353.90500000000003,-0.0884639,0.001303457021713257,-29.116199999999857,4581.0
64,20,0.9,0.95,0.4,610.44,-0.44258827,0.0022969949245452885,-29.130599999999873,4761.0
91,20,0.95,0.7,0.95,403.405,-0.2688673,0.0014433324337005614,-29.146399999999836,4691.0
95,20,0.95,0.4,1.0,367.32,-0.20407574,0.0013026690483093262,-29.17839999999988,4551.0
86,20,0.95,0.9,0.95,394.84000000000003,-0.2977594,0.0014019393920898435,-29.303799999999846,4771.0
115,20,0.99,0.4,1.0,371.86,-0.2492933,0.0013776755332946776,-29.359999999999882,4531.0
117,20,0.99,0.4,0.9,396.18,-0.27964953,0.0014642107486724854,-29.45779999999986,4511.0
73,20,0.9,0.7,0.7,464.275,-0.2840488,0.0016581034660339354,-29.48179999999986,4671.0
84,20,0.95,0.95,0.4,592.8050000000001,-0.57022554,0.002107962369918823,-29.524599999999868,4761.0
81,20,0.95,0.95,0.95,402.71500000000003,-0.30559826,0.0014382052421569827,-29.54399999999985,4791.0
111,20,0.99,0.7,0.95,374.12,-0.35308075,0.0013677895069122317,-29.599999999999863,4701.0
60,20,0.9,0.95,1.0,411.93,-0.23884082,0.001513195037841797,-29.712799999999874,4801.0
88,20,0.95,0.9,0.7,479.125,-0.3890834,0.001720036268234253,-29.776599999999895,4801.0
65,20,0.9,0.9,1.0,419.12,-0.23468828,0.001573307514190674,-29.899999999999817,4781.0
46,20,0.7,0.9,0.95,400.83,-0.16720615,0.00146567702293396,-29.91839999999986,4781.0
105,20,0.99,0.9,1.0,425.4,-0.3766214,0.0015017902851104737,-30.001599999999836,4811.0
11,20,0.01,0.7,0.95,376.955,-0.086458445,0.0013409996032714843,-30.038199999999836,4681.0
82,20,0.95,0.95,0.9,438.77,-0.32511884,0.0015722775459289552,-30.061999999999887,4781.0
31,20,0.3,0.7,0.95,380.67,-0.10998011,0.0013971662521362303,-30.111999999999863,4691.0
57,20,0.7,0.4,0.9,385.575,-0.13091238,0.0014241230487823486,-30.233399999999865,4521.0
37,20,0.3,0.4,0.9,391.995,-0.09637029,0.0014490771293640134,-30.240199999999863,4511.0
38,20,0.3,0.4,0.7,401.5400000000001,-0.11361829,0.0014839506149291993,-30.472399999999897,4491.0
99,20,0.95,0.4,0.4,525.22,-0.42015275,0.0018978047370910643,-30.644999999999833,4501.0
112,20,0.99,0.7,0.9,440.305,-0.3814666,0.0016005444526672366,-30.6981999999999,4711.0
25,20,0.3,0.9,1.0,401.65,-0.11922085,0.0014697670936584472,-30.701199999999837,4821.0
62,20,0.9,0.95,0.9,459.65,-0.26193166,0.0017092549800872801,-30.721999999999866,4791.0
50,20,0.7,0.7,1.0,407.21000000000004,-0.14819266,0.0014848089218139648,-30.723799999999848,4701.0
67,20,0.9,0.9,0.9,447.06499999999994,-0.25545198,0.0016394197940826417,-30.768799999999878,4791.0
15,20,0.01,0.4,1.0,398.38,-0.07273178,0.0014461195468902586,-30.820399999999843,4521.0
51,20,0.7,0.7,0.95,430.46000000000004,-0.14938696,0.0015690350532531739,-30.879199999999848,4681.0
70,20,0.9,0.7,1.0,415.6800000000001,-0.21548498,0.0014893221855163574,-31.012399999999843,4691.0
77,20,0.9,0.4,0.9,430.56500000000005,-0.18149121,0.0015564084053039551,-31.03399999999989,4551.0
21,20,0.3,0.95,0.95,411.78000000000003,-0.12059929,0.0015003371238708496,-31.18119999999983,4801.0
45,20,0.7,0.9,1.0,446.65500000000003,-0.16030633,0.001646156311035156,-31.401999999999845,4781.0
53,20,0.7,0.7,0.7,484.68999999999994,-0.18431212,0.001791781187057495,-31.423399999999834,4701.0
63,20,0.9,0.95,0.7,508.00999999999993,-0.31441087,0.0018999576568603511,-31.505799999999784,4791.0
