,size,gamma,theta,steps,time,score,avg_conversion_iterations
4,5,0.95,1e-13,199.13999999999996,0.004028109550476075,-199.13999999999996,508.0
5,5,0.99,1e-13,199.13999999999996,0.004037680625915527,-199.13999999999996,1634.0
0,5,0.01,1e-13,200.0,0.004101563453674316,-200.0,8.0
1,5,0.3,1e-13,200.0,0.0040571665763854976,-200.0,26.0
2,5,0.7,1e-13,200.0,0.004024779319763184,-200.0,85.0
3,5,0.9,1e-13,200.0,0.004050889492034913,-200.0,268.0
