,size,gamma,theta,steps,time,score,avg_conversion_iterations
5,25,0.99,1e-13,115.102,0.004623568058013916,-115.102,4.9
4,25,0.95,1e-13,126.44000000000001,0.005323060989379883,-126.44000000000001,5.3
3,25,0.9,1e-13,146.35399999999998,0.005810192584991455,-146.35399999999998,6.6
2,25,0.7,1e-13,164.22,0.007406988620758057,-164.22,10.1
1,25,0.3,1e-13,190.54,0.015435844421386718,-190.54,9.0
0,25,0.01,1e-13,200.0,0.013600361824035645,-200.0,5.4
